# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
283483017,-96,134,957,2966,-11725,13623
283483550,-87,124,960,2966,-11725,13623
283491570,-87,124,960,2703,-13256,13755
283492103,-80,143,967,2703,-13256,13755
283500124,-81,161,969,87,-14980,13011
283507420,-81,161,969,87,-14980,13011
283508676,-74,159,959,-4270,-17526,12066
283517220,-69,152,946,-8618,-20860,11585
283525764,-69,145,959,-12101,-24351,10893
283534308,-61,146,977,-15356,-26626,9992
283542853,-55,138,982,-16730,-28315,9117
283551397,-49,148,1016,-15216,-29496,8575
283559733,-49,148,1016,-14043,-28481,7577
283560266,-43,179,1048,-14043,-28481,7577
283568287,-43,179,1048,-13720,-27405,5346
283568820,-50,193,1053,-13720,-27405,5346
283576842,-50,193,1053,-12390,-26626,2843
283577375,-46,188,1081,-12390,-26626,2843
283585396,-46,188,1081,-10167,-23686,682
283585929,-38,196,1128,-10167,-23686,682
283593950,-35,175,1138,-8627,-18497,-2170
283602494,-23,143,1125,-5556,-13501,-3806
283608543,-23,143,1125,-5556,-13501,-3806
283611046,-22,144,1112,-1076,-8846,-4042
283619592,-28,155,1107,2073,-4786,-4453
283628136,-37,173,1101,3290,-551,-5661
283636681,-33,175,1063,3342,3876,-7376
283645225,-27,180,993,4322,6326,-8391
283653769,-23,200,940,6475,6046,-9030
283662313,-24,234,910,7341,4252,-10228
283670650,-24,234,910,6098,1478,-12057
283671183,-16,252,877,6098,1478,-12057
283679204,-16,252,877,4060,-3001,-13317
283679737,-8,253,838,4060,-3001,-13317
283687758,-8,253,838,2073,-9563,-13483
283688291,5,258,805,2073,-9563,-13483
283696312,5,258,805,-1400,-18077,-13851
283696846,4,271,785,-1400,-18077,-13851
283704867,-8,219,818,-2966,-28306,-15907
283709461,-8,219,818,-2966,-28306,-15907
283713419,24,133,916,0,-33433,-15925
283721963,27,148,963,5118,-33005,-12503
283730507,10,229,976,9345,-32068,-10080
283739052,-6,349,998,8531,-31447,-11506
283747596,-13,380,960,341,-32191,-17202
283756140,27,338,906,-5626,-37196,-21638
283764476,27,338,906,-4926,-44572,-23896
283765009,64,289,901,-4926,-44572,-23896
283773029,64,289,901,-1181,-51161,-24727
283773563,92,242,945,-1181,-51161,-24727
283781581,92,242,945,3561,-55536,-24867
283782114,106,210,1010,3561,-55536,-24867
283790135,106,210,1010,6973,-56971,-26416
283790668,81,180,1089,6973,-56971,-26416
283798689,81,180,1089,8478,-55317,-28953
283799222,62,150,1187,8478,-55317,-28953
283807242,62,154,1263,7297,-48247,-31316
283810381,62,154,1263,7297,-48247,-31316
283815794,58,149,1265,3456,-38675,-34011
283824338,63,109,1218,201,-30353,-35945
283832882,87,83,1170,-691,-23835,-35131
283841427,109,68,1112,-1426,-18716,-33057
283849970,130,38,1040,35,-16861,-28840
283858307,130,38,1040,4007,-18121,-22251
283858840,119,55,1019,4007,-18121,-22251
283866861,119,55,1019,7218,-19801,-16922
283867394,101,125,1039,7218,-19801,-16922
283875415,101,125,1039,9441,-19495,-15872
283875948,89,224,1065,9441,-19495,-15872
283883968,89,224,1065,10132,-17045,-19372
283884501,54,311,1122,10132,-17045,-19372
283892522,54,311,1122,5591,-11725,-26801
283893055,17,349,1162,5591,-11725,-26801
283901075,28,313,1141,463,-5836,-34422
283909619,50,249,1105,-1785,-1111,-39812
283911510,50,249,1105,-1785,-1111,-39812
283918171,78,174,1071,-1076,1697,-42061
283926716,103,146,1056,3027,4252,-41667
283935261,113,122,1039,6308,6816,-40162
283943806,95,102,1015,8723,8023,-37563
283952142,95,102,1015,9773,7980,-34571
283952676,95,93,1020,9773,7980,-34571
283960695,95,93,1020,7113,8863,-32138
283961228,81,126,1023,7113,8863,-32138
283969249,81,126,1023,4191,9301,-31018
283969782,62,118,969,4191,9301,-31018
283977803,62,118,969,7463,6973,-28560
283978336,72,71,921,7463,6973,-28560
283986355,72,71,921,13492,5013,-25033
283986888,77,95,936,13492,5013,-25033
283994907,64,121,943,15785,4585,-23677
284003452,50,106,942,14420,2231,-23546
284011996,60,112,980,11357,-997,-22811
284020541,62,156,1016,7385,-1960,-22382
284029086,51,174,1034,2537,-988,-23126
284037631,45,180,1042,-2896,-525,-24675
284046176,36,182,1041,-10438,-131,-27422
284054512,36,182,1041,-16537,140,-29907
284055045,44,133,1008,-16537,140,-29907
284063067,44,133,1008,-17228,-236,-30415
284063600,52,69,979,-17228,-236,-30415
284071621,52,69,979,-14157,-621,-27851
284072154,67,29,980,-14157,-621,-27851
284080175,67,29,980,-11095,551,-24272
284080709,75,62,1003,-11095,551,-24272
284088729,60,110,1008,-10473,4331,-22732
284097274,48,85,941,-10447,5521,-23712
284105819,69,47,917,-7455,3150,-22960
284113531,69,47,917,-7455,3150,-22960
284114371,82,51,928,-2056,2047,-21472
284122915,61,52,932,2380,1627,-20588
284131459,46,37,944,6947,-288,-19696
284140004,39,56,997,12950,-1785,-19442
284148340,39,56,997,18795,-437,-20448
284148873,24,55,1060,18795,-437,-20448
284156893,24,55,1060,26215,3263,-21367
284157426,22,8,1098,26215,3263,-21367
284165447,22,8,1098,34195,9353,-21752
284165981,24,-14,1130,34195,9353,-21752
284174000,24,-14,1130,37940,16082,-21945
284174533,23,-21,1128,37940,16082,-21945
284182552,23,-21,1128,37528,20956,-21297
284183085,33,-15,1114,37528,20956,-21297
284191105,40,2,1098,32156,24640,-19731
284199649,36,12,1048,23065,26713,-17806
284208194,43,25,968,13247,26258,-15295
284214451,43,25,968,13247,26258,-15295
284216746,50,21,878,6895,22400,-11488
284225291,47,36,854,4742,15050,-6676
284233836,21,71,900,3841,8312,-2616
284242379,0,96,947,2502,4191,-1198
284250716,0,96,947,1776,1662,-1067
284251249,-4,111,1003,1776,1662,-1067
284259268,-4,111,1003,3858,1925,-2415
284259801,5,153,1056,3858,1925,-2415
284267822,5,153,1056,6842,5713,-5880
284268355,13,213,1046,6842,5713,-5880
284276374,13,213,1046,10832,8373,-10692
284276906,-2,195,999,10832,8373,-10692
284284928,7,123,988,18550,8286,-14008
284293472,51,109,1030,27623,9835,-14122
284302017,52,156,1048,32611,14463,-13588
284310560,14,204,1028,30012,17806,-15015
284315363,14,204,1028,30012,17806,-15015
284319113,-10,182,997,23152,17631,-18112
284327658,-3,132,973,16563,15767,-20868
284336202,11,62,946,11935,13177,-21358
284344746,32,4,943,11637,8837,-18278
284353082,32,4,943,12731,5853,-13886
284353615,30,21,997,12731,5853,-13886
284361637,30,21,997,9712,5643,-11208
284362171,22,71,1033,9712,5643,-11208
284370191,22,71,1033,4086,6667,-10517
284370724,14,144,1039,4086,6667,-10517
284378743,14,144,1039,-3158,7647,-11830
284379276,-10,183,1018,-3158,7647,-11830
284387296,-15,155,993,-9581,8111,-13860
284395842,-10,116,997,-14936,7603,-14656
