# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
314886136,-12,12,1002,-210,376,393
314894681,-12,12,1002,-227,350,402
314903225,-12,11,1000,-253,385,385
314911769,-13,12,1000,-192,455,402
314918442,-13,12,1000,-192,455,402
314920320,-13,12,1002,-210,428,376
314928865,-12,12,1004,-192,367,367
314937202,-12,12,1004,-218,428,350
314937735,-12,11,1003,-218,428,350
314945754,-12,11,1003,-227,402,376
314946287,-13,10,1001,-227,402,376
314954307,-13,10,1001,-227,385,350
314954841,-12,12,1001,-227,385,350
314962863,-12,12,1001,-183,385,341
314963396,-12,11,1001,-183,385,341
314971417,-12,11,1001,-210,332,341
314971950,-12,11,1002,-210,332,341
314979971,-11,11,1003,-218,402,376
314988516,-11,11,1002,-175,411,428
314997060,-12,12,1001,-183,376,402
315005605,-12,12,1002,-236,437,376
315014148,-12,12,1002,-201,402,367
315019366,-12,12,1002,-201,402,367
315022700,-12,12,1003,-236,367,332
315031245,-11,11,1002,-218,323,367
315039789,-11,11,1002,-236,306,358
315048125,-11,11,1002,-192,411,358
315048658,-12,12,999,-192,411,358
315056677,-12,12,999,-245,402,341
315057210,-11,11,1002,-245,402,341
315065232,-11,11,1002,-210,393,376
315065765,-12,11,1004,-210,393,376
315073786,-12,11,1004,-253,481,350
315074319,-11,12,1003,-253,481,350
315082340,-11,12,1003,-201,367,367
315082873,-12,11,1001,-201,367,367
315090895,-12,12,1003,-210,420,376
315099439,-13,11,1000,-262,437,358
315107983,-12,12,1002,-245,420,376
315116528,-13,11,1002,-192,358,376
315120500,-13,11,1002,-192,358,376
315125081,-12,11,1000,-210,420,393
315133625,-12,11,1003,-210,341,393
315142169,-12,11,1001,-201,428,350
315150505,-12,11,1001,-175,367,385
315151038,-12,12,1003,-175,367,385
315159059,-12,12,1003,-253,455,393
315159592,-11,11,1003,-253,455,393
315167613,-11,11,1003,-253,411,393
315168146,-12,11,1003,-253,411,393
315176166,-12,11,1003,-218,411,358
315176700,-12,12,1004,-218,411,358
315184720,-12,12,1000,-280,367,385
315193265,-12,12,1001,-227,367,367
315201810,-12,12,1001,-183,385,341
315210354,-12,10,1002,-201,376,367
315218898,-12,11,1004,-210,315,367
315221413,-12,11,1004,-210,315,367
315227450,-11,11,1004,-262,315,376
315235995,-12,11,1002,-271,367,376
315244331,-12,11,1002,-201,332,393
315244865,-11,11,1002,-201,332,393
315252886,-11,11,1002,-166,358,367
315253419,-12,10,1000,-166,358,367
315261440,-12,10,1000,-192,411,402
315261974,-12,10,1001,-192,411,402
315269995,-12,10,1001,-192,332,393
315270528,-12,12,1002,-192,332,393
315278549,-13,12,1002,-245,402,385
315287093,-12,12,1001,-192,358,402
315295638,-12,11,1002,-183,323,393
315304182,-11,11,1003,-183,341,393
315312727,-13,11,1001,-201,385,411
315321272,-13,12,1002,-192,402,411
315322540,-13,12,1002,-192,402,411
315329825,-13,12,1001,-218,376,367
315338369,-12,12,1002,-218,341,393
315346705,-12,12,1002,-218,428,428
315347238,-12,11,1003,-218,428,428
315355258,-12,11,1003,-227,367,402
315355791,-11,11,1003,-227,367,402
315363812,-11,11,1003,-210,376,385
315364345,-12,12,1003,-210,376,385
315372366,-12,12,1003,-245,358,393
315372899,-12,12,1001,-245,358,393
315380918,-12,12,1001,-218,323,385
315381451,-12,11,1002,-218,323,385
315389471,-11,11,1003,-201,376,376
315398015,-11,11,1001,-218,341,402
315406559,-12,12,1002,-245,420,411
315415104,-12,11,1002,-201,393,385
315423440,-12,11,1002,-201,393,385
315423656,-12,12,1001,-227,393,341
315432201,-12,12,1004,-245,472,376
315440745,-12,12,1001,-262,402,341
315449081,-12,12,1001,-253,358,367
315449614,-13,11,1001,-253,358,367
315457636,-13,11,1001,-288,385,350
315458169,-12,11,1001,-288,385,350
315466190,-12,11,1001,-280,350,350
315466724,-12,11,1001,-280,350,350
315474744,-12,11,1001,-262,463,376
315475277,-12,11,1003,-262,463,376
315483298,-12,11,1001,-236,472,367
315491843,-13,11,1002,-245,393,393
315500387,-12,11,1001,-175,402,367
315508931,-12,11,1001,-236,428,358
315517476,-13,11,1003,-280,393,393
315524565,-13,11,1003,-280,393,393
315526029,-12,11,1001,-236,402,376
315534365,-12,11,1001,-236,393,350
315534898,-12,11,1002,-236,393,350
315542917,-12,11,1002,-271,437,367
315543450,-12,12,1002,-271,437,367
315551472,-12,12,1002,-236,420,385
315552005,-12,11,1002,-236,420,385
315560025,-12,11,1002,-236,428,376
315560558,-12,10,1002,-236,428,376
315568578,-12,10,1002,-262,332,402
315569111,-12,11,1002,-262,332,402
315577132,-12,11,1001,-227,332,376
315585677,-12,11,1001,-262,341,385
315594221,-12,12,1002,-227,350,402
315602766,-12,11,1003,-218,385,358
315611310,-11,11,1003,-210,385,385
315619855,-12,10,1003,-271,385,350
315625490,-12,10,1003,-271,385,350
315628200,-12,10,1003,-210,358,385
315628733,-12,10,1002,-210,358,385
315636753,-12,10,1002,-245,402,358
315637286,-11,11,1001,-245,402,358
315645307,-11,11,1001,-175,376,350
315645840,-12,12,1001,-175,376,350
315653862,-12,12,1001,-201,428,306
315654395,-12,11,1003,-201,428,306
315662416,-12,11,1003,-245,411,341
315670959,-11,11,1001,-218,385,350
