# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
251508250,-69,-50,994,25217,-15076,-3176
251516271,-69,-50,994,20020,-15653,-3963
251516805,-74,-42,1009,20020,-15653,-3963
251524826,-74,-42,1009,15601,-15242,-5302
251525359,-81,-41,1015,15601,-15242,-5302
251533380,-81,-41,1015,12801,-14980,-6378
251533913,-91,-45,1028,12801,-14980,-6378
251541934,-108,-51,1054,12197,-13903,-7376
251550478,-100,-56,1079,12932,-10605,-8907
251559023,-86,-45,1097,12661,-6028,-11515
251567567,-81,-23,1117,9975,-1785,-15531
251576112,-85,-1,1143,5258,2721,-21157
251584656,-90,-12,1145,507,8111,-27352
251591537,-90,-12,1145,507,8111,-27352
251593208,-74,-41,1132,-1872,13352,-31858
251601752,-48,-99,1073,113,17368,-33311
251610296,-34,-162,1023,10631,19355,-30275
251618841,-30,-165,994,26783,21288,-24018
251627385,-31,-140,945,43776,23467,-17867
251635722,-31,-140,945,60322,24587,-12766
251636255,-38,-97,894,60322,24587,-12766
251644276,-38,-97,894,71286,23266,-9572
251644810,-52,-27,868,71286,23266,-9572
251652829,-52,-27,868,72878,19556,-8566
251653362,-65,24,878,72878,19556,-8566
251661383,-65,24,878,66570,14638,-8732
251661916,-70,55,901,66570,14638,-8732
251669937,-70,55,901,55116,9205,-9983
251670470,-71,66,938,55116,9205,-9983
251678491,-72,60,1009,41361,4051,-10675
251687036,-88,53,1084,25427,1076,-10753
251692461,-88,53,1084,25427,1076,-10753
251695588,-91,15,1124,10202,-43,-10088
251704132,-90,-30,1138,-1330,-253,-6676
251712677,-94,-62,1128,-8513,-8,-1190
251721221,-88,-93,1070,-10762,507,6098
251729766,-81,-122,968,-6361,-420,15373
251738310,-76,-80,893,2843,-3587,25340
251746856,-83,47,861,9222,-8942,31298
251755193,-83,47,861,10228,-15408,31088
251755726,-94,156,853,10228,-15408,31088
251763745,-94,156,853,7997,-22513,27387
251764279,-87,220,873,7997,-22513,27387
251772300,-87,220,873,4690,-29688,21962
251772833,-80,249,921,4690,-29688,21962
251780855,-80,249,921,2808,-35446,16388
251781388,-85,241,997,2808,-35446,16388
251789407,-85,241,997,2782,-38272,11812
251789940,-98,221,1078,2782,-38272,11812
251793388,-98,221,1078,2782,-38272,11812
251797969,-115,195,1151,4243,-38097,8251
251806513,-125,167,1209,7367,-34807,6186
251815058,-127,131,1215,12477,-28945,5180
251823603,-119,108,1184,19643,-22137,5678
251832147,-89,116,1145,25812,-15942,6037
251840691,-64,118,1077,26880,-12110,4917
251849235,-48,98,1013,23476,-13177,3517
251857779,-31,83,990,16633,-17605,2012
251866323,-28,84,1000,7953,-22986,402
251874867,-46,92,1034,-4138,-27518,-1706
251883412,-68,89,1067,-17500,-31132,-3578
251891956,-81,88,1095,-27168,-33906,-5127
251894472,-81,88,1095,-27168,-33906,-5127
251900509,-84,66,1113,-30948,-34842,-5643
251908846,-84,66,1113,-26950,-33783,-3937
251909379,-77,35,1100,-26950,-33783,-3937
