# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
146451095,-145,-260,1102,112577,-64942,1032
146459431,-145,-260,1102,115683,-64785,8198
146459964,-129,-286,1330,115683,-64785,8198
146467983,-129,-286,1330,112726,-55326,15041
146468516,-90,-263,1478,112726,-55326,15041
146476537,-90,-263,1478,98297,-39497,22006
146477070,-35,-185,1551,98297,-39497,22006
146485091,30,-71,1542,72450,-22426,26232
146493634,47,69,1489,38237,-4173,28061
146502177,8,135,1399,4716,12285,24141
146510721,-47,171,1258,-20956,27238,17053
146519265,-70,106,1038,-25541,39488,8636
146527810,-87,57,816,-12783,41702,5722
146536146,-87,57,816,5136,34203,5845
146536679,-97,48,739,5136,34203,5845
146544700,-97,48,739,17701,23677,4768
146545233,-96,67,749,17701,23677,4768
146551382,-96,67,749,17701,23677,4768
146553261,-96,67,749,22662,14997,1723
146553794,-63,52,797,22662,14997,1723
146561815,-33,23,835,21866,9126,-761
146570358,-21,-12,870,20212,4541,-1960
146578902,-25,-33,904,18182,420,-1540
146587445,-29,-16,921,14962,-4235,393
146595990,-15,29,944,9275,-10150,1522
146604534,3,79,974,1907,-14192,1951
146612870,3,79,974,-5293,-13737,2362
146613403,15,122,1002,-5293,-13737,2362
146621424,15,122,1002,-11147,-8470,910
146621957,14,158,996,-11147,-8470,910
146629976,14,158,996,-15067,-1435,-2660
146630509,14,158,931,-15067,-1435,-2660
146638529,14,158,931,-14752,1828,-6903
146639062,35,128,833,-14752,1828,-6903
146647082,48,68,752,-10386,-1426,-9161
146652508,48,68,752,-10386,-1426,-9161
146655634,65,23,732,-5495,-10202,-8548
146664178,92,-12,789,-857,-20483,-6405
146672722,112,-45,906,1531,-29155,-3718
146681267,138,-89,1039,332,-33048,-201
146689603,138,-89,1039,-2660,-30966,4873
146690136,172,-127,1124,-2660,-30966,4873
146698156,172,-127,1124,-4646,-24736,11453
146698689,207,-154,1156,-4646,-24736,11453
146706709,207,-154,1156,-4602,-16047,19635
146707242,232,-147,1133,-4602,-16047,19635
146715263,241,-99,1074,-3867,-7227,28341
146723807,221,-38,979,-2852,78,35420
146732351,211,3,870,1758,4165,39777
146740895,208,37,773,7253,4497,42918
146749439,200,49,700,15820,0,45456
146753409,200,49,700,15820,0,45456
146757782,200,49,700,26608,-6763,48431
146758315,195,78,694,26608,-6763,48431
146766335,195,78,694,35848,-14971,50636
146766868,188,130,751,35848,-14971,50636
146774887,188,130,751,41098,-22820,50907
146775420,181,182,866,41098,-22820,50907
146783439,181,182,866,39978,-27755,49621
